Date;AAPL;BA;CAT;CSCO;IBM;KO;MSFT;NKE
02.01.2018;43.064998626708984;296.8399963378906;157.0399932861328;38.86000061035156;147.46653747558594;45.540000915527344;85.94999694824219;63.4900016784668
03.01.2018;43.057498931884766;297.79998779296875;157.27999877929688;39.16999816894531;151.52008056640625;45.439998626708984;86.3499984741211;63.47999954223633
04.01.2018;43.25749969482422;296.6700134277344;159.44000244140625;38.9900016784668;154.5889129638672;46.08000183105469;87.11000061035156;63.439998626708984
05.01.2018;43.75;308.8399963378906;161.9600067138672;39.529998779296875;155.3441619873047;46.06999969482422;88.19000244140625;63.97999954223633
08.01.2018;43.587501525878906;310.1499938964844;166.02999877929688;39.939998626708984;156.28106689453125;46.0;88.27999877929688;64.55000305175781
09.01.2018;43.58250045776367;318.42999267578125;166.42999267578125;39.689998626708984;156.625244140625;46.22999954223633;88.22000122070312;64.08999633789062
10.01.2018;43.5724983215332;320.260009765625;165.8699951171875;39.90999984741211;156.95985412597656;46.06999969482422;87.81999969482422;64.22000122070312
11.01.2018;43.81999969482422;328.1199951171875;169.1999969482422;40.099998474121094;156.97897338867188;46.040000915527344;88.08000183105469;64.29000091552734
12.01.2018;44.272499084472656;336.2099914550781;170.3000030517578;40.869998931884766;155.965576171875;46.150001525878906;89.5999984741211;64.66999816894531
16.01.2018;44.04750061035156;335.1600036621094;169.30999755859375;40.540000915527344;156.6443634033203;46.529998779296875;88.3499984741211;63.41999816894531
17.01.2018;44.775001525878906;351.010009765625;168.5;41.20000076293945;161.2332763671875;46.81999969482422;90.13999938964844;63.810001373291016
18.01.2018;44.814998626708984;340.1600036621094;168.8300018310547;41.29999923706055;161.68260192871094;46.880001068115234;90.0999984741211;64.11000061035156
19.01.2018;44.6150016784668;337.7300109863281;170.41000366210938;41.290000915527344;155.2294464111328;47.15999984741211;90.0;67.20999908447266
22.01.2018;44.25;338.0;170.88999938964844;41.65999984741211;155.44932556152344;47.380001068115234;91.61000061035156;66.38999938964844
23.01.2018;44.2599983215332;335.5899963378906;169.42999267578125;42.099998474121094;158.93881225585938;47.45000076293945;91.9000015258789;67.13999938964844
24.01.2018;43.55500030517578;334.69000244140625;168.33999633789062;42.16999816894531;158.09751892089844;47.83000183105469;91.81999969482422;68.0
25.01.2018;42.77750015258789;343.1099853515625;169.3699951171875;41.900001525878906;158.193115234375;47.84000015258789;92.33000183105469;67.70999908447266
26.01.2018;42.877498626708984;343.2200012207031;167.05999755859375;42.560001373291016;159.9808807373047;48.529998779296875;94.05999755859375;68.04000091552734
29.01.2018;41.9900016784668;340.82000732421875;162.5800018310547;42.849998474121094;159.46463012695312;47.70000076293945;93.91999816894531;67.58000183105469
30.01.2018;41.74250030517578;337.7099914550781;163.75999450683594;42.25;156.42446899414062;47.40999984741211;92.73999786376953;67.33000183105469
31.01.2018;41.85749816894531;354.3699951171875;162.77999877929688;41.540000915527344;156.50096130371094;47.59000015258789;95.01000213623047;68.22000122070312
01.02.2018;41.94499969482422;356.94000244140625;162.24000549316406;41.70000076293945;155.2581329345703;47.45000076293945;94.26000213623047;67.6500015258789
02.02.2018;40.125;348.9100036621094;157.49000549316406;40.93000030517578;152.0363311767578;46.72999954223633;91.77999877929688;67.22000122070312
05.02.2018;39.122501373291016;328.8800048828125;151.0800018310547;38.779998779296875;145.82217407226562;44.88999938964844;88.0;64.38999938964844
06.02.2018;40.75749969482422;340.9100036621094;156.41000366210938;40.16999816894531;148.50860595703125;44.66999816894531;91.33000183105469;65.22000122070312
07.02.2018;39.8849983215332;348.1199951171875;154.33999633789062;40.34000015258789;147.08413696289062;44.560001373291016;89.61000061035156;65.62999725341797
08.02.2018;38.787498474121094;329.6600036621094;145.99000549316406;38.77000045776367;141.09942626953125;43.099998474121094;85.01000213623047;62.4900016784668
09.02.2018;39.102500915527344;332.8299865722656;149.2100067138672;39.529998779296875;142.93499755859375;43.130001068115234;88.18000030517578;65.48999786376953
12.02.2018;40.6775016784668;343.79998779296875;152.2899932861328;40.599998474121094;144.7418670654297;43.970001220703125;89.12999725341797;65.9800033569336
13.02.2018;41.084999084472656;343.1600036621094;153.97000122070312;41.22999954223633;144.12045288085938;44.189998626708984;89.83000183105469;65.87000274658203
14.02.2018;41.842498779296875;344.8500061035156;158.05999755859375;42.09000015258789;147.95411682128906;44.099998474121094;90.80999755859375;67.95999908447266
15.02.2018;43.247501373291016;356.4599914550781;159.97999572753906;44.08000183105469;149.14913940429688;44.779998779296875;92.66000366210938;68.29000091552734
16.02.2018;43.10749816894531;355.0400085449219;156.2899932861328;44.33000183105469;149.31166076660156;44.97999954223633;92.0;68.30000305175781
20.02.2018;42.962501525878906;353.3500061035156;155.55999755859375;44.060001373291016;148.33651733398438;43.9900016784668;92.72000122070312;67.48999786376953
21.02.2018;42.76750183105469;352.3699951171875;155.22999572753906;43.310001373291016;147.18930053710938;43.34000015258789;91.48999786376953;67.05000305175781
22.02.2018;43.125;355.9200134277344;158.86000061035156;42.939998626708984;146.44358825683594;43.52000045776367;91.7300033569336;67.12999725341797
23.02.2018;43.875;356.6600036621094;162.41000366210938;44.0;148.68069458007812;44.040000915527344;94.05999755859375;68.16000366210938
26.02.2018;44.74250030517578;363.4800109863281;163.69000244140625;45.36000061035156;151.6061248779297;44.029998779296875;95.41999816894531;69.6500015258789
27.02.2018;44.59749984741211;364.6400146484375;161.25999450683594;45.040000915527344;149.66539001464844;43.619998931884766;94.19999694824219;68.02999877929688
